"Token","Count","Number of Dialogue Acts","Total Acts"
"bronx",1,1,174291
"compass",1,1,174291
"deputies",1,1,174291
"polytechnochloride",1,1,174291
"friday's",1,1,174291
"mounds",1,1,174291
"threats",1,1,174291
"polyurethane",1,1,174291
"crusts",1,1,174291
"watchi",1,1,174291
"waving",1,1,174291
"yuppies",1,1,174291
"intensity",1,1,174291
"dub",1,1,174291
"dud",1,1,174291
"clustering",1,1,174291
"pumpkin",1,1,174291
"boredom",1,1,174291
"empha",1,1,174291
"garfield",1,1,174291
"millspec",1,1,174291
"bane",1,1,174291
"man!",1,1,174291
"inebriated",1,1,174291
"capsize",1,1,174291
"ministry",1,1,174291
"expen",1,1,174291
"29",1,1,174291
"wiping",1,1,174291
"exper",1,1,174291
"profane",1,1,174291
"partition",1,1,174291
"hunter's",1,1,174291
"grumbled",1,1,174291
"examined",1,1,174291
"stat",1,1,174291
"ovolacto",1,1,174291
"manx",1,1,174291
"gordon",1,1,174291
"impart",1,1,174291
"disoriented",1,1,174291
"eyeglasses",1,1,174291
"barb",1,1,174291
"speci",1,1,174291
"approximate",1,1,174291
"swiftly",1,1,174291
"dumas",1,1,174291
"bayfield",1,1,174291
"maps",1,1,174291
"disarray",1,1,174291
"hefty",1,1,174291
"countdown",1,1,174291
"overmilitarization",1,1,174291
"duress",1,1,174291
"undercoat",1,1,174291
"uzis",1,1,174291
"whizzing",1,1,174291
"woken",1,1,174291
"66",1,1,174291
"twix",1,1,174291
"admin",1,1,174291
"rebelled",1,1,174291
"service's",1,1,174291
"judgements",1,1,174291
"appli",1,1,174291
"ground's",1,1,174291
"vetos",1,1,174291
"marx",1,1,174291
"ethereal",1,1,174291
"schoolyard",1,1,174291
"milton",1,1,174291
"82",1,1,174291
"preteen",1,1,174291
"84",1,1,174291
"dalmatian",1,1,174291
"tribute",1,1,174291
"commas",1,1,174291
"babysitting",1,1,174291
"reabsorbed",1,1,174291
"itinerary",1,1,174291
"businessmen",1,1,174291
"seeps",1,1,174291
"maul",1,1,174291
"bodily",1,1,174291
"antiques",1,1,174291
"nutrisystem",1,1,174291
"baud",1,1,174291
"nonviolence",1,1,174291
"paraplegics",1,1,174291
"mounts",1,1,174291
"automatics",1,1,174291
"inequality",1,1,174291
"steinbrenner",1,1,174291
"suntan",1,1,174291
"disorient",1,1,174291
"mate",1,1,174291
"micrographics",1,1,174291
"glitters",1,1,174291
"stated",1,1,174291
"neiman's",1,1,174291
"spanking",1,1,174291
"hovering",1,1,174291
"northerners",1,1,174291
"ardmore",1,1,174291
"qualifying",1,1,174291
"queasy",1,1,174291
"mawr",1,1,174291
"nudging",1,1,174291
"solitude",1,1,174291
"mavs",1,1,174291
"disagreeable",1,1,174291
"juicy",1,1,174291
"rewallpapering",1,1,174291
"briefcases",1,1,174291
"stepfamilies",1,1,174291
"whooping",1,1,174291
"cuttings",1,1,174291
"hickories",1,1,174291
"circumventing",1,1,174291
"uproarious",1,1,174291
"bazo",1,1,174291
"exaggerate",1,1,174291
"pyrex",1,1,174291
"eda",1,1,174291
"perfectionist",1,1,174291
"portsmith",1,1,174291
"throat's",1,1,174291
"johnnie",1,1,174291
"finicky",1,1,174291
"bays",1,1,174291
"bullying",1,1,174291
"configuration",1,1,174291
"unwind",1,1,174291
"circumvention",1,1,174291
"treks",1,1,174291
"degrade",1,1,174291
"freebies",1,1,174291
"rearranged",1,1,174291
"atchafalaya",1,1,174291
"sayeth",1,1,174291
"rioting",1,1,174291
"fairs",1,1,174291
"sevens",1,1,174291
"surveying",1,1,174291
"fairy",1,1,174291
"hermit",1,1,174291
"ragged",1,1,174291
"sanctuary",1,1,174291
"inviting",1,1,174291
"packet",1,1,174291
"loony",1,1,174291
"heinz",1,1,174291
"rodgers",1,1,174291
"catastrophic",1,1,174291
"orphans",1,1,174291
"perceptive",1,1,174291
"stri",1,1,174291
"turin",1,1,174291
"stunt",1,1,174291
"perceptions",1,1,174291
"flips",1,1,174291
"bologna",1,1,174291
"stunk",1,1,174291
"evaporated",1,1,174291
"curried",1,1,174291
"cocky",1,1,174291
"plattsburgh's",1,1,174291
"dancers",1,1,174291
"communion",1,1,174291
"kiesters",1,1,174291
"chases",1,1,174291
"carolinas",1,1,174291
"nathan",1,1,174291
"excluding",1,1,174291
"groomed",1,1,174291
"melon",1,1,174291
"intrusive",1,1,174291
"els",1,1,174291
"neek",1,1,174291
"kindly",1,1,174291
"westernize",1,1,174291
"miatas",1,1,174291
"neuter",1,1,174291
"allocation's",1,1,174291
"catsup",1,1,174291
"pressurized",1,1,174291
"mayfield",1,1,174291
"precisely",1,1,174291
"scholastic",1,1,174291
"trencher",1,1,174291
"trenches",1,1,174291
"motorists",1,1,174291
"eno",1,1,174291
"slippery",1,1,174291
"contempt",1,1,174291
"spiegel",1,1,174291
"churchill's",1,1,174291
"occurs",1,1,174291
"liberate",1,1,174291
"herman",1,1,174291
"proceedings",1,1,174291
"victims'",1,1,174291
"sulked",1,1,174291
"forte",1,1,174291
"rancled",1,1,174291
"thoroughness",1,1,174291
"reteaching",1,1,174291
"valet",1,1,174291
"rancles",1,1,174291
"superpowers",1,1,174291
"schwarzenegger's",1,1,174291
"immunizations",1,1,174291
"interdiction's",1,1,174291
"chincoteague",1,1,174291
"emitters",1,1,174291
"would've",1,1,174291
"overpass",1,1,174291
"hemorrhoids",1,1,174291
"federalized",1,1,174291
"strongest",1,1,174291
"flier",1,1,174291
"journeys",1,1,174291
"dulcimer",1,1,174291
"setters",1,1,174291
"home's",1,1,174291
"golfs",1,1,174291
"flied",1,1,174291
"eth",1,1,174291
"bonneville",1,1,174291
"turks",1,1,174291
"revolts",1,1,174291
"sofas",1,1,174291
"harpist",1,1,174291
"joseph",1,1,174291
"terrell",1,1,174291
"infatuated",1,1,174291
"strays",1,1,174291
"angles",1,1,174291
"paddled",1,1,174291
"reallocate",1,1,174291
"spies",1,1,174291
"spiel",1,1,174291
"announcers",1,1,174291
"dilly",1,1,174291
"greensboro",1,1,174291
"chord",1,1,174291
"bulging",1,1,174291
"emigrated",1,1,174291
"teases",1,1,174291
"axiom",1,1,174291
"belgian",1,1,174291
"cert",1,1,174291
"oreos",1,1,174291
"palatial",1,1,174291
"phonograph",1,1,174291
"encompass",1,1,174291
"yes!",1,1,174291
"smashers",1,1,174291
"spitted",1,1,174291
"argued",1,1,174291
"occult",1,1,174291
"improvise",1,1,174291
"vibes",1,1,174291
"yantsen",1,1,174291
"drunken",1,1,174291
"wrappers",1,1,174291
"backbone",1,1,174291
"cropping",1,1,174291
"triumph",1,1,174291
"ness",1,1,174291
"newcomers",1,1,174291
"sensitivities",1,1,174291
"lineman",1,1,174291
"exacting",1,1,174291
"niokes",1,1,174291
"textures",1,1,174291
"hugs",1,1,174291
"noncritical",1,1,174291
"station's",1,1,174291
"suey",1,1,174291
"transcontinental",1,1,174291
"street's",1,1,174291
"tinny",1,1,174291
"encyclopedias",1,1,174291
"snatch",1,1,174291
"churning",1,1,174291
"voiced",1,1,174291
"undoing",1,1,174291
"innately",1,1,174291
"incorporating",1,1,174291
"huhs",1,1,174291
"ted's",1,1,174291
"sensation",1,1,174291
"shortages",1,1,174291
"classed",1,1,174291
"attempted",1,1,174291
"fab",1,1,174291
"anticrime",1,1,174291
"three's",1,1,174291
"stubs",1,1,174291
"fas",1,1,174291
"fav",1,1,174291
"esoteric",1,1,174291
"physiology",1,1,174291
"rendering",1,1,174291
"horrid",1,1,174291
"applesauce",1,1,174291
"aerostar",1,1,174291
"evaporator",1,1,174291
"everyth",1,1,174291
"beefed",1,1,174291
"tercel",1,1,174291
"bobber",1,1,174291
"screwy",1,1,174291
"widget",1,1,174291
"employees'",1,1,174291
"studs",1,1,174291
"fogy",1,1,174291
"keeshonden",1,1,174291
"arabic",1,1,174291
"berlin",1,1,174291
"sterilize",1,1,174291
"grin",1,1,174291
"grip",1,1,174291
"grit",1,1,174291
"julio",1,1,174291
"aisles",1,1,174291
"wanton",1,1,174291
"behold",1,1,174291
"indebted",1,1,174291
"hull",1,1,174291
"philodendron",1,1,174291
"subservient",1,1,174291
"compilers",1,1,174291
"originated",1,1,174291
"kuenzer",1,1,174291
"king's",1,1,174291
"backfired",1,1,174291
"heirs",1,1,174291
"goings",1,1,174291
"sunk",1,1,174291
"sump",1,1,174291
"hunk",1,1,174291
"totality",1,1,174291
"sums",1,1,174291
"diem",1,1,174291
"kalli",1,1,174291
"sidedness",1,1,174291
"casablanca",1,1,174291
"postgraduate",1,1,174291
"dismemberment",1,1,174291
"linemen",1,1,174291
"strifes",1,1,174291
"drafts",1,1,174291
"kerosene",1,1,174291
"roomie",1,1,174291
"carmen",1,1,174291
"fiv",1,1,174291
"mirroring",1,1,174291
"digs",1,1,174291
"grou",1,1,174291
"shrink",1,1,174291
"af",1,1,174291
"pinchers",1,1,174291
"locality",1,1,174291
"husb",1,1,174291
"dreaded",1,1,174291
"panic",1,1,174291
"haunted",1,1,174291
"spaghettis",1,1,174291
"aw",1,1,174291
"ax",1,1,174291
"draggy",1,1,174291
"bh",1,1,174291
"handcraft",1,1,174291
"bl",1,1,174291
"institutionalized",1,1,174291
"pelicans",1,1,174291
"refinery",1,1,174291
"panes",1,1,174291
"selenium",1,1,174291
"elma",1,1,174291
"notions",1,1,174291
"develops",1,1,174291
"hating",1,1,174291
"pearson",1,1,174291
"freely",1,1,174291
"japan's",1,1,174291
"ds",1,1,174291
"panky",1,1,174291
"equalizer",1,1,174291
"depravation",1,1,174291
"showtime",1,1,174291
"garment",1,1,174291
"novices",1,1,174291
"ea",1,1,174291
"ec",1,1,174291
"caricature",1,1,174291
"decaying",1,1,174291
"walker's",1,1,174291
"busters",1,1,174291
"unpredictable",1,1,174291
"favored",1,1,174291
"goodies",1,1,174291
"dike",1,1,174291
"ey",1,1,174291
"christening",1,1,174291
"fou",1,1,174291
"nationalizing",1,1,174291
"mustache",1,1,174291
"plow",1,1,174291
"ding",1,1,174291
"semiautomatics",1,1,174291
"relinquished",1,1,174291
"oils",1,1,174291
"senators'",1,1,174291
"ga",1,1,174291
"prosperity",1,1,174291
"burgers",1,1,174291
"contend",1,1,174291
"covert",1,1,174291
"recalled",1,1,174291
"plod",1,1,174291
"plastered",1,1,174291
"nutso",1,1,174291
"pathologist",1,1,174291
"collector's",1,1,174291
"surmised",1,1,174291
"triggered",1,1,174291
"forceful",1,1,174291
"girl's",1,1,174291
"adelaide",1,1,174291
"zing",1,1,174291
"clowning",1,1,174291
"itemized",1,1,174291
"rehabilitatable",1,1,174291
"il",1,1,174291
"freddy's",1,1,174291
"ir",1,1,174291
"schemes",1,1,174291
"dink",1,1,174291
"banners",1,1,174291
"distraction",1,1,174291
"sadist",1,1,174291
"clients'",1,1,174291
"dirk",1,1,174291
"accomplices",1,1,174291
"dire",1,1,174291
"customary",1,1,174291
"plugged",1,1,174291
"centipede",1,1,174291
"delight",1,1,174291
"continuum",1,1,174291
"roaming",1,1,174291
"reclaimed",1,1,174291
"dips",1,1,174291
"ku",1,1,174291
"conglomerate",1,1,174291
"distracting",1,1,174291
"smokestacks",1,1,174291
"stabilize",1,1,174291
"misunderstood",1,1,174291
"attache",1,1,174291
"ly",1,1,174291
"locker",1,1,174291
"grimm's",1,1,174291
"mc",1,1,174291
"knifings",1,1,174291
"primates",1,1,174291
"foothold",1,1,174291
"rejuvenating",1,1,174291
"stoneleigh",1,1,174291
"charms",1,1,174291
"vendettas",1,1,174291
"roughest",1,1,174291
"panty",1,1,174291
"tamales",1,1,174291
"immobilized",1,1,174291
"ideology",1,1,174291
"audiology",1,1,174291
"ob",1,1,174291
"foolishly",1,1,174291
"plasticine",1,1,174291
"ov",1,1,174291
"ow",1,1,174291
"bombings",1,1,174291
"newness",1,1,174291
"kisses",1,1,174291
"nastier",1,1,174291
"infringement",1,1,174291
"dominican",1,1,174291
"po",1,1,174291
"indications",1,1,174291
"pu",1,1,174291
"griffins",1,1,174291
"outlawing",1,1,174291
"dragnet",1,1,174291
"choke",1,1,174291
"veered",1,1,174291
"paint's",1,1,174291
"chauvinist",1,1,174291
"readers'",1,1,174291
"fairfax",1,1,174291
"rooney",1,1,174291
"thatched",1,1,174291
"toasted",1,1,174291
"defunct",1,1,174291
"insulating",1,1,174291
"origins",1,1,174291
"sn",1,1,174291
"toaster",1,1,174291
"thatches",1,1,174291
"rollback",1,1,174291
"sw",1,1,174291
"rectified",1,1,174291
"sy",1,1,174291
"golan",1,1,174291
"boomerang",1,1,174291
"teamwork",1,1,174291
"intere",1,1,174291
"censorship",1,1,174291
"ts",1,1,174291
"sissy",1,1,174291
"ty",1,1,174291
"phillips",1,1,174291
"loader",1,1,174291
"wayward",1,1,174291
"capturing",1,1,174291
"flunked",1,1,174291
"adolf",1,1,174291
"anarchy",1,1,174291
"spiders",1,1,174291
"recluse",1,1,174291
"sanger",1,1,174291
"quake",1,1,174291
"nutritional",1,1,174291
"overachiever",1,1,174291
"apron",1,1,174291
"gag",1,1,174291
"disposer",1,1,174291
"gah",1,1,174291
"quail",1,1,174291
"disposed",1,1,174291
"jerry's",1,1,174291
"tumultuous",1,1,174291
"effeminate",1,1,174291
"jihad",1,1,174291
"tyme",1,1,174291
"environmentals",1,1,174291
"healthiest",1,1,174291
"inbred",1,1,174291
"forbi",1,1,174291
"restricts",1,1,174291
"naturalist",1,1,174291
"capsules",1,1,174291
"loner",1,1,174291
"laurel",1,1,174291
"reeling",1,1,174291
"embrey",1,1,174291
"charac",1,1,174291
"scrooge",1,1,174291
"logan's",1,1,174291
"belch",1,1,174291
"periodic",1,1,174291
"forefathers",1,1,174291
"zionist",1,1,174291
"barbed",1,1,174291
"roadsides",1,1,174291
"nagging",1,1,174291
"snaps",1,1,174291
"marketed",1,1,174291
"bridal",1,1,174291
"abide",1,1,174291
"reminders",1,1,174291
"warranty's",1,1,174291
"anguishing",1,1,174291
"hosted",1,1,174291
"ineffectiveness",1,1,174291
"presentable",1,1,174291
"scalloped",1,1,174291
"welcoming",1,1,174291
"tariffs",1,1,174291
"stroking",1,1,174291
"lipton",1,1,174291
"crease",1,1,174291
"pigeons",1,1,174291
"gig",1,1,174291
"regret",1,1,174291
"candler",1,1,174291
"facilitators",1,1,174291
"cajuns",1,1,174291
"iceberg",1,1,174291
"booger",1,1,174291
"emil",1,1,174291
"prosecu",1,1,174291
"simulators",1,1,174291
"tollbooth",1,1,174291
"stockton",1,1,174291
"astute",1,1,174291
"floored",1,1,174291
"bogart's",1,1,174291
"flicker",1,1,174291
"affixing",1,1,174291
"berkley",1,1,174291
"civilians",1,1,174291
"termites",1,1,174291
"virgin",1,1,174291
"fluctuate",1,1,174291
"reimburses",1,1,174291
"gladiator",1,1,174291
"snobby",1,1,174291
"multicultural",1,1,174291
"shebang",1,1,174291
"plate's",1,1,174291
"mundane",1,1,174291
"miscalculation",1,1,174291
"grenades",1,1,174291
"prying",1,1,174291
"interstates",1,1,174291
"fievel",1,1,174291
"audition",1,1,174291
"nitty",1,1,174291
"strapped",1,1,174291
"kenneth",1,1,174291
"baptisms",1,1,174291
"goi",1,1,174291
"badness",1,1,174291
"bebble",1,1,174291
"ronky",1,1,174291
"noncompetitive",1,1,174291
"gos",1,1,174291
"carving",1,1,174291
"rearrange",1,1,174291
"injustices",1,1,174291
"avery",1,1,174291
"callous",1,1,174291
"methadone",1,1,174291
"nirvana",1,1,174291
"visibility",1,1,174291
"browned",1,1,174291
"internationally",1,1,174291
"tractable",1,1,174291
"maples",1,1,174291
"vowel",1,1,174291
"remarked",1,1,174291
"plastering",1,1,174291
"gorillas",1,1,174291
"crested",1,1,174291
"unclassified",1,1,174291
"sociable",1,1,174291
"exhilarating",1,1,174291
"lubricated",1,1,174291
"flickers",1,1,174291
"bikers",1,1,174291
"wrestle",1,1,174291
"gre",1,1,174291
"hypothesize",1,1,174291
"lodging",1,1,174291
"washingt",1,1,174291
"tektronix",1,1,174291
"negotiations",1,1,174291
"regroup",1,1,174291
"acupuncture",1,1,174291
"redemption",1,1,174291
"analyst",1,1,174291
"inject",1,1,174291
"embankment",1,1,174291
"violist",1,1,174291
"roadside",1,1,174291
"shatner",1,1,174291
"passengers",1,1,174291
"castration",1,1,174291
"innovator",1,1,174291
"gui",1,1,174291
"favorably",1,1,174291
"categorized",1,1,174291
"batches",1,1,174291
"stutgardt",1,1,174291
"gothic",1,1,174291
"gonna",1,1,174291
"speedup",1,1,174291
"shopped",1,1,174291
"englands",1,1,174291
"inconsistent",1,1,174291
"lingering",1,1,174291
"garments",1,1,174291
"death's",1,1,174291
"trevino",1,1,174291
"violins",1,1,174291
"unjudgmental",1,1,174291
"bueno's",1,1,174291
"lala",1,1,174291
"cropped",1,1,174291
"slapsti",1,1,174291
"swap",1,1,174291
"unpunished",1,1,174291
"reconcile",1,1,174291
"inveterate",1,1,174291
"cartel",1,1,174291
"coolers",1,1,174291
"ether",1,1,174291
"winterized",1,1,174291
"environmentalists",1,1,174291
"deterrents",1,1,174291
"convey",1,1,174291
"newscasters",1,1,174291
"cowboy's",1,1,174291
"cholera",1,1,174291
"couched",1,1,174291
"pocketful",1,1,174291
"imposing",1,1,174291
"conven",1,1,174291
"cramming",1,1,174291
"custodial",1,1,174291
"compensatory",1,1,174291
"lamp",1,1,174291
"oregon's",1,1,174291
"layovers",1,1,174291
"encyclopedia",1,1,174291
"livelihood",1,1,174291
"conduct",1,1,174291
"lame",1,1,174291
"refusing",1,1,174291
"culled",1,1,174291
"acorn",1,1,174291
"helen",1,1,174291
"lessen",1,1,174291
"drift",1,1,174291
"undergrads",1,1,174291
"induce",1,1,174291
"buffalo's",1,1,174291
"walkabout",1,1,174291
"huddled",1,1,174291
"permanente",1,1,174291
"goofs",1,1,174291
"archaic",1,1,174291
"characterizing",1,1,174291
"lard",1,1,174291
"hannibal",1,1,174291
"cruelty",1,1,174291
"fanatics",1,1,174291
"weathers",1,1,174291
"simplification",1,1,174291
"disclose",1,1,174291
"narcotics",1,1,174291
"junes",1,1,174291
"evoke",1,1,174291
"preface",1,1,174291
"fouls",1,1,174291
"goody",1,1,174291
"hab",1,1,174291
"anointed",1,1,174291
"align",1,1,174291
"lynda",1,1,174291
"differing",1,1,174291
"hap",1,1,174291
"lath",1,1,174291
"buttoned",1,1,174291
"hansen",1,1,174291
"paralyzing",1,1,174291
"aasv",1,1,174291
"bloodless",1,1,174291
"warn",1,1,174291
"lash",1,1,174291
"jim's",1,1,174291
"warp",1,1,174291
"commune",1,1,174291
"submarines",1,1,174291
"quadriceps",1,1,174291
"hershiser",1,1,174291
"courageous",1,1,174291
"transgressor",1,1,174291
"lowe's",1,1,174291
"chlorofar",1,1,174291
"intruded",1,1,174291
"tediously",1,1,174291
"shitty",1,1,174291
"raccoons",1,1,174291
"earle",1,1,174291
"clarity",1,1,174291
"antihistamines",1,1,174291
"observing",1,1,174291
"pratt",1,1,174291
"circum",1,1,174291
"beefing",1,1,174291
"wheeled",1,1,174291
"aggravation",1,1,174291
"barium",1,1,174291
"baptists",1,1,174291
"squawk",1,1,174291
"hep",1,1,174291
"molested",1,1,174291
"lawy",1,1,174291
"dossier",1,1,174291
"cha!",1,1,174291
"dawdle",1,1,174291
"doubles",1,1,174291
"deregulate",1,1,174291
"bruno",1,1,174291
"worship",1,1,174291
"shipwrecked",1,1,174291
"airways",1,1,174291
"confirmed",1,1,174291
"liter's",1,1,174291
"linguistic",1,1,174291
"smash",1,1,174291
"gless",1,1,174291
"preponderance",1,1,174291
"climate's",1,1,174291
"workbook",1,1,174291
"ledger",1,1,174291
"ledges",1,1,174291
"untouchable",1,1,174291
"wheeler",1,1,174291
"ferris",1,1,174291
"hid",1,1,174291
"obituaries",1,1,174291
"straying",1,1,174291
"still's",1,1,174291
"burton",1,1,174291
"beau",1,1,174291
"nitny",1,1,174291
"privacies",1,1,174291
"tapping",1,1,174291
"okey",1,1,174291
"exclamations",1,1,174291
